%xcoord,ycoord
696389.806912098,5456111.73762934
696405.500043115,5456116.99996092
696488.878857543,5456116.99999533
696520.312526367,5456117.00000925
696575.937457618,5456113.50002714
696588.202727203,5456109.97317791
696624.625040055,5456099.50002516
696655.93749238,5456068.00004837
696667.141008615,5456054.40379267
696687.250047509,5456030.00004693
696732.499965889,5455998.50004829
696745.415727112,5455995.89831128
696784.624990575,5455988.00003742
696833.31247002,5455974.49998136
696841.314287321,5455969.54857832
696878.562451779,5455946.49997146
696919.902367925,5455908.53356863
696923.74995099,5455904.99996299
696955.062475381,5455859.49998248
696973.870011453,5455824.79441665
697000.312490198,5455776.00002427
697020.934682705,5455736.64266473
697038.562499022,5455703.00002214
697052.43751894,5455644.00003008
697052.95165616,5455642.76167927
697069.875041858,5455601.99998614
697090.749998854,5455553.49998543
697090.924182633,5455550.51035068
697094.187470871,5455494.4999614
697077.994442548,5455453.7749949
697073.31246106,5455441.99996729
697035.062465603,5455403.99996139
697009.087042904,5455383.09519296
696982.875042823,5455362.00004117
696941.187469049,5455324.00004364
696933.081043021,5455318.35689012
696895.937465636,5455292.50001854
696847.249948645,5455268.00000868
696847.102193176,5455267.91655224
696798.562514036,5455240.49999002
696758.566756789,5455221.72354419
696746.374960518,5455215.9999745
696725.499957143,5455181.49996249
696691.581429474,5455150.2218099
696683.750017619,5455143.00003498
696652.499994687,5455129.00003733
696621.187537517,5455101.50001533
696616.979257925,5455088.8186155
696607.249982016,5455059.50004811
696603.750004793,5455000.49998322
696596.293867133,5454993.93188087
696575.937531534,5454976.00001602
696534.187500288,5454934.50004296
696526.297736038,5454923.01252099
696502.937514014,5454888.99998419
696457.687476794,5454861.49998186
696452.10740325,5454860.25254475
696395.062454806,5454847.50003345
696362.590017035,5454821.69408992
696329.000018592,5454795.00003637
696294.187539208,5454763.99994924
696287.877654673,5454755.71911925
696238.562456043,5454690.99996666
696228.928254548,5454675.1318736
696200.312452744,5454628.00001776
696181.565394003,5454587.32009122
696162.062448314,5454544.99999642
696132.140645647,5454500.85183286
696109.87501628,5454468.00001511
696102.937510996,5454412.50000752
696103.507770205,5454408.2256439
696109.875017375,5454360.49998554
696113.134034138,5454308.82073677
696113.374979227,5454304.99997422
696120.312528843,5454228.00004244
696122.743461421,5454209.36768915
696130.749971559,5454148.00000643
696136.546413696,5454110.40150084
696144.624950567,5454058.00004069
696154.247621516,5454012.08763149
696158.562519823,5453991.50002325
696169.00003484,5453935.99996173
696168.060991553,5453913.59702697
696165.500011921,5453852.50000468
696153.214670363,5453815.71757268
696144.624990687,5453790.00002189
696113.375040132,5453745.00000204
696103.956283546,5453729.62589081
696085.500015615,5453699.49998948
696039.732520627,5453653.90875838
696036.812491142,5453650.9999766
695977.68752513,5453619.50001494
695955.474235738,5453601.14412176
695935.937493835,5453584.99999394
695904.624994257,5453556.99995241
695881.678984449,5453533.87039466
695873.375000934,5453525.49998996
695835.062497542,5453480.50003333
695815.842411739,5453458.73163029
695807.250027046,5453449.00001834
695789.875040039,5453407.50001586
695776.660169968,5453367.67781578
695775.937464898,5453365.49999032
695734.187544232,5453341.49999013
695692.500016457,5453338.00000339
695685.08624886,5453336.135456
695650.749975043,5453327.49995613
695612.499949405,5453306.50001046
695592.777694212,5453299.61705506
695575.250030756,5453293.50000152
695542.937455754,5453281.99999298
695499.558500903,5453263.7351474
695494.249982876,5453261.49998004
695459.437476612,5453250.99997116
695452.500030937,5453212.50001946
695458.422535536,5453194.77502348
695469.874949543,5453160.49996242
695490.749966909,5453122.00002881
695500.181163137,5453104.36692192
695518.562528562,5453070.00003792
695538.894402586,5453012.53487568
695539.437455911,5453011.00001062
695553.374973723,5452961.99996283
695561.175779925,5452915.28882983
695563.81251916,5452899.50002986
695574.250043713,5452830.00001109
695575.54078213,5452816.41822386
695581.187538985,5452756.99997443
695589.894900766,5452717.70935123
695609.000041769,5452631.5000431
695609.000033483,5452619.87106687
695608.999982407,5452572.49997736
695624.119249295,5452522.16274118
695629.874950177,5452503.00000504
695650.750016867,5452430.00004597
695651.245594392,5452426.03544846
695661.187541651,5452346.49999269
695669.509395778,5452328.56066868
695682.06254303,5452301.49997598
695700.249633857,5452233.80091556
695706.374987178,5452211.00004069
695741.187501825,5452155.0000404
695748.865438364,5452148.01174069
695782.937518621,5452117.00002096
695810.750042536,5452110.00001115
695835.928248881,5452110.00001684
695890.750019281,5452110.00003036
695935.299318435,5452102.91929307
695956.812466691,5452099.49995762
696032.430132587,5452079.77804038
696050.749960201,5452075.00002576
696106.374977322,5452054.49996688
696122.279328008,5452039.71431092
696126.812535575,5452035.49996329
696148.124954276,5452016.00000564
696182.937448209,5451964.00002494
696184.422644349,5451962.27448968
696228.125005006,5451911.50004297
696248.484381709,5451885.60705298
696252.500014712,5451880.49998186
